name,artists,release_date,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,score,percentile,already_charted_in_tw
Mut Zur Melodie,['Lexy & K-Paul'],2011-05-13,0.977,0.4029999999999999,0.787,0.128,0.238,0.0799,190400,0.854587146193378,99.98905263741365,False
Outro,['Partikel'],,0.625,0.536,0.7929999999999999,0.0909,0.0524,0.0956,49000,0.8543392996094481,99.9889140632037,False
Developing Vocal Riffs 17,['David Marcelle'],2004-04-13,0.708,0.138,0.5529999999999999,0.741,0.347,0.0894,48987,0.8542824114826537,99.98877548899374,False
Good Intention,['7L'],2005-02-08,0.885,0.357,0.774,0.05,0.0432,0.0926,195387,0.8541984589508909,99.9886369147838,False
"Rhapsody on a Theme of Paganini, Op. 43: Theme","['Sergei Rachmaninoff', 'Yuri Temirkanov']",1995-01-17,0.679,0.0245,0.893,0.969,0.0342,0.0983,19507,0.854186230414535,99.98849834057384,False
Shrek,"['Fred Close', 'Mr. Fuller']",2020-05-21,0.853,0.58,0.6990000000000001,0.00144,0.125,0.0932,157714,0.8540577553141174,99.98835976636387,False
CB 200 Version,['Channel One'],2001-01-01,0.733,0.345,0.8,0.0388,0.081,0.0914,150933,0.8540423176652773,99.98822119215393,False
80s Come Back To Us (Extended Version),['Zion & Kristian Conde'],2016-07-22,0.657,0.8420000000000001,0.8959999999999999,0.00154,0.0532,0.0953,33587,0.8534676865582064,99.98808261794397,False
Painted Pictures (Art),['Madlib'],2006-03-21,0.784,0.633,0.922,0.0476,0.1989999999999999,0.0818,101333,0.853418366019943,99.98794404373402,False
Hello - Lindsay Lowend Remix,"['Giraffage', 'Lindsay Lowend']",2015-08-14,0.708,0.4529999999999999,0.7859999999999999,0.000379,0.348,0.0835,194965,0.8532207893637819,99.98780546952408,False
Balloon Game,['Kevin MacLeod'],2017-08-14,0.923,0.648,0.97,0.00577,0.0523,0.0935,221753,0.853162324408607,99.9876668953141,False
False Leaders,['Travellers'],2005-01-01,0.794,0.491,0.743,0.0244,0.095,0.0987,208067,0.8529482006183902,99.98752832110415,False
Straight To Trico Lee's Head,"['King Tubby', 'The Aggrovators']",2009-03-03,0.711,0.604,0.843,0.045,0.228,0.0948,200467,0.8529104512966434,99.98738974689421,False
Page 36: I Write Because,['Shungu'],2020-01-20,0.78,0.493,0.884,0.872,0.951,0.0615,126593,0.8527262041622532,99.98725117268425,False
Regrets,['Hether'],2019-11-08,0.8240000000000001,0.315,0.805,0.389,0.0418,0.0986,160050,0.8522080506495597,99.9871125984743,False
kickin.it,['Toonorth'],2017-03-21,0.578,0.561,0.6709999999999999,0.654,0.624,0.0886,90203,0.8521085382921413,99.98697402426434,False
Who Did It? Who Dig It?,['Melt-Banana'],2015-05-12,0.657,0.782,0.8440000000000001,0.552,0.809,0.0654,25347,0.8516939429224568,99.98683545005439,False
Fat Mack,['Evil Pimp'],2019-05-14,0.937,0.716,0.961,0.00758,0.1639999999999999,0.0913,256497,0.8515445186724082,99.98669687584444,False
So Much Love,['Gregory Isaacs'],2009-03-03,0.7879999999999999,0.375,0.936,0.00205,0.12,0.0857,202600,0.8514696504544982,99.98655830163449,False
8:41,['Eleazar Galope'],2020-11-06,0.906,0.3229999999999999,0.8190000000000001,0.347,0.0563,0.0968,207832,0.851373915919371,99.98641972742452,False
Tem Shop,['Toby Fox'],2015-09-15,0.6920000000000001,0.129,0.977,0.347,0.401,0.0592,45236,0.8512036615207619,99.98628115321458,False
The Task of Extending Democracy in the US,['Noam Chomsky'],2014-12-16,0.617,0.19,0.669,0.995,0.623,0.0978,215888,0.8510906190116972,99.98614257900462,False
Intro,['Kelis'],2003-12-05,0.867,0.56,0.925,0.0639,0.235,0.0716,90893,0.8510320086682125,99.98600400479467,False
Interlude III,['Moka Only'],2003-01-01,0.621,0.472,0.895,0.0589,0.0369,0.087,32853,0.8510029900501127,99.98586543058472,False
Jacuzzi and Polar,['Cookin Soul'],2020-07-21,0.654,0.732,0.897,0.701,0.508,0.0906,92055,0.8509417597173826,99.98572685637475,False
Batman Vs. Blackman,['Cody Chesnutt'],,0.873,0.725,0.606,0.0187,0.1369999999999999,0.0881,62520,0.8508177736958121,99.98558828216481,False
El Laberinto Del Coco (feat. Maximiliano Rivas),"['Hector Barez', 'Maximiliano Rivas']",2017-11-10,0.6759999999999999,0.645,0.738,0.128,0.246,0.0891,79227,0.8507589025527305,99.98544970795486,False
F--k Nigga,['The New 2 Live Crew'],1994-02-07,0.818,0.6809999999999999,0.536,0.0138,0.215,0.0999,193467,0.8505288415642085,99.9853111337449,False
Close/Open,['Shat'],,0.8640000000000001,0.4589999999999999,0.612,0.352,0.0473,0.0968,78400,0.8505276410182272,99.98517255953494,False
Jefferson and Liberty,['John Owen Lardinois'],,0.581,0.375,0.96,0.973,0.291,0.0995,71533,0.8503596317370047,99.98503398532499,False
DRILLED TWO HOLES,['CRICKETS'],2020-01-10,0.804,0.442,0.865,0.0003779999999999,0.0468,0.0937,211179,0.8502456329212599,99.98489541111503,False
Hello Test Test,"['Count Bass D', 'Edan', 'J. Rawls', 'Dionne Farris', 'Oriana Lee']",,0.885,0.706,0.922,0.0413,0.1969999999999999,0.0722,49960,0.8500950879741608,99.98475683690509,False
Triangle,['Emaney'],2016-09-21,0.688,0.4370000000000001,0.759,0.72,0.185,0.0968,26627,0.849794534052434,99.98461826269514,False
Bye Bye Bird,['The Twisters'],,0.664,0.381,0.605,0.907,0.8220000000000001,0.0824,155280,0.8497680331748381,99.98447968848517,False
Introduction,['Burnt'],,0.775,0.3939999999999999,0.521,0.578,0.401,0.085,54680,0.8495353114187514,99.98434111427522,False
Listen to the Mustn'ts,['Shel Silverstein'],,0.789,0.0686,0.46,0.0127,0.695,0.0394,23667,0.8494488909461266,99.98420254006527,False
Die Mucke,['Kazim Akboga'],2014-09-04,0.974,0.4,0.3379999999999999,0.204,0.123,0.0927,112520,0.8492778682430304,99.98406396585531,False
Pumpkin Beer,['Deep of 2 Hungry Bros'],2019-01-01,0.914,0.4679999999999999,0.809,0.547,0.195,0.0848,78964,0.8492278469213329,99.98392539164536,False
The Backstage,['EMC'],2008-03-11,0.7140000000000001,0.206,0.361,0.325,0.508,0.0744,65213,0.8490410877258094,99.9837868174354,False
Developing Vocal Riffs 2 -8,['David Marcelle'],2005-09-16,0.887,0.168,0.401,0.0639,0.257,0.074,97933,0.8488259755164914,99.98364824322546,False
Developing Vocal Riffs 2 -15,['David Marcelle'],2005-09-16,0.69,0.281,0.589,0.00172,0.094,0.0895,112240,0.8485277634609207,99.9835096690155,False
Nit d'Hivern,['Pieceszx'],2020-05-08,0.679,0.603,0.6559999999999999,0.00814,0.0661,0.099,108957,0.8483728497278045,99.98337109480555,False
Heut' Nacht,['Spliff'],2005-07-11,0.943,0.294,0.742,0.017,0.084,0.0892,263493,0.8482808207973369,99.98323252059559,False
Where Did You Get That Funk ?,['Brassy'],2002-09-02,0.868,0.5710000000000001,0.7390000000000001,0.000795,0.181,0.0914,227840,0.848174750803578,99.98309394638564,False
Get Raw B,['DJ Paul Nice'],2011-05-17,0.833,0.669,0.4270000000000001,0.00193,0.4539999999999999,0.0803,130480,0.847968165011288,99.98295537217568,False
Killin' Time,['Nobody Special (Pat Taylor)'],,0.638,0.375,0.67,0.158,0.193,0.0932,140960,0.8473197110425656,99.98281679796574,False
Formerly Track Seven,['Bounce To Balance'],2020-01-03,0.513,0.113,0.357,0.1369999999999999,0.401,0.0846,103707,0.847071015715799,99.98267822375577,False
Bionic Kahaan,['DJ Me DJ You'],2001-11-04,0.792,0.526,0.602,0.0090599999999999,0.0947,0.0996,197440,0.8469401822250536,99.98253964954583,False
East New York '96 (By No Means Interlude),['MentPlus'],2020-05-29,0.69,0.517,0.736,0.309,0.3329999999999999,0.0841,92640,0.846869472429066,99.98240107533587,False
You Good We Good,['WawMart'],2017-08-28,0.865,0.307,0.295,0.0167,0.254,0.0892,185836,0.8468288335691458,99.98226250112592,False
Shane,['George Duke'],2012-06-15,0.809,0.5660000000000001,0.845,0.0244,0.0787,0.0931,194053,0.8467976078444102,99.98212392691596,False
CAN'T GET OVER YOU (feat. Clams Casino),"['Joji', 'Clams Casino']",2018-10-26,0.9,0.316,0.8440000000000001,0.684,0.332,0.0771,107077,0.8465375516113114,99.98191606560103,False
CAN'T GET OVER YOU (feat. Clams Casino),"['Joji', 'Clams Casino']",2018-10-26,0.9,0.316,0.8440000000000001,0.684,0.332,0.0771,107077,0.8465375516113114,99.98191606560103,False
So Cold,"['Peewee Longway', 'Money Man']",2019-10-04,0.921,0.359,0.127,0.034,0.4629999999999999,0.0781,149888,0.8464905893655694,99.98170820428611,False
Please Pick Up,['Mickey Z'],2020-10-15,0.574,0.455,0.589,0.425,0.408,0.094,120085,0.8464748768086063,99.98156963007615,False
Gimme the Loot,['Big Baby Tape'],2018-12-21,0.733,0.7020000000000001,0.684,0.00697,0.0828,0.0991,135471,0.8463244595439261,99.98143105586618,False
Ice Water,['Raekwon feat. Ghostface Killah & Cappadonna'],,0.74,0.899,0.777,0.0452,0.321,0.0972,218133,0.8462826673587832,99.98129248165624,False
Balancing Half Moon Pose to Pyramid,['Emaney'],2016-09-21,0.649,0.434,0.449,0.919,0.59,0.0938,76307,0.8461873744448872,99.98115390744628,False
Prologue: Gloria Speaks,['Team Metlay'],2005-05-10,0.475,0.2269999999999999,0.119,0.21,0.49,0.0926,89707,0.8461520665095935,99.98101533323633,False
Do It for You (Original Version),['Jahna Sebastian'],2014-07-20,0.7759999999999999,0.413,0.6509999999999999,0.00371,0.0546,0.0971,197888,0.8460809969472545,99.98087675902639,False
"I Have Met My Love Today - Recorded at RCA Studio A, Nashville","['John Prine', 'The Secret Sisters']",2018-10-03,0.479,0.4029999999999999,0.917,0.0211,0.0287,0.0992,149422,0.8460732594359244,99.98073818481642,False
Pressure,['Aluna'],2020-08-28,0.872,0.4039999999999999,0.447,0.186,0.191,0.0959,193595,0.8460094439052225,99.98059961060648,False
Voice Memo 161,['Nao'],2016-07-29,0.8170000000000001,0.347,0.977,0.648,0.048,0.0843,23253,0.8457480996141794,99.98046103639652,False
Fndyrhpyplce / Talkin (All That Jazz),['CTZN'],2019-12-17,0.494,0.461,0.956,0.342,0.1669999999999999,0.0958,106112,0.8456469896061274,99.98032246218656,False
Distracted,['Seth Swirsky'],2010-05-18,0.746,0.632,0.912,0.1989999999999999,0.0265,0.0992,152253,0.8455396058609764,99.98018388797661,False
Billie Jean,['Michael Jackson'],2014-03-03,0.929,0.449,0.778,0.0175,0.07,0.0961,297560,0.8454569695843706,99.98004531376665,False
Burn - (Bonus Track),['Genesis Elijah'],2020-06-12,0.603,0.667,0.873,0.0839,0.158,0.0989,170500,0.8454470445223291,99.9799067395567,False
Immigrant Song - Russian Version,['Limpopo'],2006-09-14,0.8690000000000001,0.482,0.961,0.00491,0.236,0.0755,214227,0.845443548786976,99.97976816534675,False
Pressure,['Pane Mua'],2019-05-27,0.833,0.787,0.631,0.00196,0.25,0.0903,156800,0.8451514497856104,99.9796295911368,False
